token,item,variation,sku,field,old,new,reason
IOSFIH6X2SGVGCB66GK6LX5C,DARK KIDNEY BEAN,4 LB,306800,GTIN,,03068001,scanner sends the 8-digit code
ZO7NF6PE4YK6ZC6RBXQY2EWF,DARK KIDNEY BEANS,2LB,306900,GTIN,,03069000,scanner sends the 8-digit code
XAWIYNMECR247RDSJDAO4O2M,DARK KIDNEY BEANS,8 LB,307000,GTIN,,03070006,scanner sends the 8-digit code
233A7R3ZR7UUERUTTEYBTJD2,DEEP ATTA,20 LB,200002,GTIN,,02000026,scanner sends the 8-digit code
3SOHBJ4GPTSHHJPNYWZVJQHH,DEEP TANDOORI NAAN,Regular,400900,GTIN,,04009007,scanner sends the 8-digit code
AAYSBXLFV45DUQF4GF7RPRKY,DEER BLACK CARDIMOM,3.5 OZ (100 GM),560700,GTIN,,05607000,scanner sends the 8-digit code
2CGZGLGURKVQ6ATEOMUO26KR,DEER BLACK SALT,3.5OZ,600500,GTIN,,06005009,scanner sends the 8-digit code
75TCE2YAJ7D7JQ6SS2TAJEGE,DEER BROWN MUSTARD (BIG),14 OZ,562100,GTIN,,05621000,scanner sends the 8-digit code
JGBEVRQAGH6RDYCHBJUKRPIR,DEER BROWN MUSTARD (BIG),14 OZ (2),562000,GTIN,,05620001,scanner sends the 8-digit code
5PIHHIV3YYEHZHMGCXNO2HBI,DEER GOOND KATIRA,3.5 OZ (100 GM),561300,GTIN,,05613001,scanner sends the 8-digit code
OZOOGCXYZ53IH5VNYIL6F4DM,DHANA DAL,14 OZ,965464,GTIN,,09654648,scanner sends the 8-digit code
DNV26PUCJNHG6HU4ASVPPQ3N,DHOLKA,7 oz,326740,GTIN,,03267404,scanner sends the 8-digit code
VQ2LKJDQGBB6ZOTWYOKQKQQK,DIET COKE,12 OZ,496580,GTIN,,04965802,scanner sends the 8-digit code
R5ZWAYH4BNUEOUYMSR46BATK,DIET COKE,20 OZ,490450,GTIN,,04904500,scanner sends the 8-digit code
GWVP4UUOEIEYAUCNDSZT46C7,DIET PEPSI,20 FL OZ,121300,GTIN,,01213007,scanner sends the 8-digit code
Z5RE7CFSWQK3MNECERTGON3G,DIET PEPSI,12 FL.OZ,125690,GTIN,,01256905,scanner sends the 8-digit code
2PD2LR7P7J5ELVDSUWNKMWT5,DRIED DATES,Regular,405200,GTIN,,04052009,scanner sends the 8-digit code
EPIU6PUCMPY3MBK5O6JEULE2,DRY DATES,Regular (3),201750,GTIN,,02017503,scanner sends the 8-digit code
RD24KNT4G25WB5HQVSOCZE5X,DRY DATES,Regular (4),201740,GTIN,,02017406,scanner sends the 8-digit code
4KR7FPVNL4ZANSTFF3Y6WH7E,DRY DATES,14 oz,154212,GTIN,,01542125,scanner sends the 8-digit code
HYAXEWY4KSEDWMXFLCGTQHEW,DRY FRUIT LADOO,7OZ,765400,GTIN,,07654006,scanner sends the 8-digit code
JEHIAAOW7OOQNHVPX6M3T2UR,FALOODA SEV,50 G,564000,GTIN,,05640005,scanner sends the 8-digit code
HRVEWVD3KDGAB3AQRX72TPB5,FARRO SALAD,Regular,609600,GTIN,,06096001,scanner sends the 8-digit code
SLVGJOAM2GGSTHQFEMJHCRK5,FENNEL CANDY,7 OZ,500200,GTIN,,05002003,scanner sends the 8-digit code
VOZYUMI3MGKV6XC22FCZPGLM,FENNEL CANDY,7oz,319500,GTIN,,03195002,scanner sends the 8-digit code
ACS5AJ3FG62NAGIEAO533AJF,FENNEL CANDY,14Oz,319600,GTIN,,03196001,scanner sends the 8-digit code
R6K2GXDPTR5B24O25JR2IYBI,FENNEL CANDY,Regular (2),201480,GTIN,,02014807,scanner sends the 8-digit code
J7NHSYXCKHGATR5JE6PMVNIB,FENNEL SEEDS,200GM,402800,GTIN,,04028002,scanner sends the 8-digit code
ERYPEHRYZ6XJ4UPKIGBQ5MBT,FENNEL SEEDS,400GM,302900,GTIN,,03029002,scanner sends the 8-digit code
C6KYLRJ2RCXO2DHRETQUUFSE,FENUGEEK SEEDS,400 GM (2),302800,GTIN,,03028003,scanner sends the 8-digit code
PWWVCLB43BV3GRD4ZOJ5NBU6,FLAT CINAMMON STCK,100G,303400,GTIN,,03034004,scanner sends the 8-digit code
QCE6G73JX6L3VWAG5IBDTNJ7,FLEX SEED,1 LB,568100,GTIN,,05681002,scanner sends the 8-digit code
OPAUMMLBLPDWVPDFWI6XEC66,FLEX SEEDS,7oz,405900,GTIN,,04059002,scanner sends the 8-digit code
GHLPK7TMGAG7KWVDHOMXMPJY,FRAPPUCCINO,281ML,124100,GTIN,,01241000,scanner sends the 8-digit code
3RJAI6H6A4XIIVDBMPIJKOZB,FRESH CHAT PAPDI,Regular,230389,GTIN,,02303895,scanner sends the 8-digit code
N3QT2JLR5GDCRT4KUGNNGMPM,FRUIT CREAM,Regular,652090,GTIN,,06520906,scanner sends the 8-digit code
ZO3PDSEXXTI6OUXX64ZQB33O,FRUIT CUSTARD,Regular,319100,GTIN,,03191006,scanner sends the 8-digit code
2ZGYD3VNVAW374VUQKVWKN5P,FRYUMS,200 GM,563700,GTIN,,05637001,scanner sends the 8-digit code
WUET4F2R54XZQQLYRHL7BS2P,GAJJAR BURFI,Regular,547800,GTIN,,05478004,scanner sends the 8-digit code
7GK4QO2FD32D2EVRIBDSAGKK,GAJJAR BURFI,Regular (2),785500,GTIN,,07855009,scanner sends the 8-digit code
ETLFUD42DUADX4OZARJFY7NK,GAJJAR HALWA,Regular,312300,GTIN,,03123005,scanner sends the 8-digit code
3K5665KSQ25C42RFKN5IP5NL,GAJJAR KI KHEER,Regular,852200,GTIN,,08522009,scanner sends the 8-digit code
OD5AA4VX5GGC5ZLNLGZEWT4P,GAJJAR KI KHEER,Regular (2),605400,GTIN,,06054005,scanner sends the 8-digit code
53DSXFPJPSFT3DALCXQH5PSM,GAJJARALOO,Regular,563500,GTIN,,05635003,scanner sends the 8-digit code
S3EQCDJ2X65OQEA5BLDLQ72A,GAZAB AAM PAPAD BURFI,150 G,564200,GTIN,,05642003,scanner sends the 8-digit code
DL7AXYDWCBKDYODN42QBZ6DR,GINGER CANDY,14 OZ,555580,GTIN,,05555806,scanner sends the 8-digit code
OF5PQMLA3TAY7GIUH4BZ7RCO,GINGER CANDY SLICED,7 oz,454540,GTIN,,04545402,scanner sends the 8-digit code
AIRQKOKZZYJ6KMA4LLZIVW5D,GINGER SLICE,300 GM (2),201550,GTIN,,02015505,scanner sends the 8-digit code
JITT6RXNX62W3TLYAYLVFGST,GINGER SLICE CANDY,1LB,302100,GTIN,,03021000,scanner sends the 8-digit code
4OTC3PYG2MSUJT4QCI4K26HX,GOBHI ALOO,Regular,310900,GTIN,,03109005,scanner sends the 8-digit code
GJ4URZZR7ZKZ3GYCPQICWOXQ,GOBHI MATTAR,Regular,314200,GTIN,,03142000,scanner sends the 8-digit code
IAANP5YUUBLFD7GYJNR4NJTJ,GOL MATTHI,Regular,781800,GTIN,,07818008,scanner sends the 8-digit code
3LQMQB6AWN537QZCKF7SJUZZ,GOLDEN BLOSSOM HONEY,454G,732674,GTIN,,07326743,scanner sends the 8-digit code
3KPSAGJMTUHXRIZTJDD4VQ7M,GOLDEN BLOSSOM HONEY,Regular,732684,GTIN,,07326840,scanner sends the 8-digit code
WCKWCPUI6R457I7UXWJQE4WE,GOLDEN BLOSSOM HONEY,227G,732654,GTIN,,07326549,scanner sends the 8-digit code
EOLQ3ES5UHTYTGBELTHKF4NY,GOLDEN RAISINS,2 LB,300400,GTIN,,03004003,scanner sends the 8-digit code
XTB5MXOV7ZN3KI2JCVQTQMHR,GOLDEN RAISINS JUMBO,1 LB,300300,GTIN,,03003004,scanner sends the 8-digit code
2ORZUSLV54R2KVEG3FBLIKOJ,GOLGAPPA PANI,Regular,739823,GTIN,,07398231,scanner sends the 8-digit code
W2W57CK4SIR7K77P4E5SCFJF,GOLGAPPA PANI,Regular (2),603800,GTIN,,06038007,scanner sends the 8-digit code
A6X257UEEX7M4DZB5YJVBA5G,GOLGAPPA PANI,Regular (3),100001,GTIN,,01000018,scanner sends the 8-digit code
WGOLVR2BAVWV7DTIFBC6RQNK,GREEN CARDAMOM,2LB,603500,GTIN,,06035000,scanner sends the 8-digit code
YMBEP5TPB6MW6JJVYQ4ZNJQJ,GREEN CARDAMOM,400 GM,200000,GTIN,,02000008,scanner sends the 8-digit code
LM2PGL4G3BDBU5L36QHPNYRG,GREEN CARDAMOM,1 LB,301600,GTIN,,03016008,scanner sends the 8-digit code
A35XOWXBEBBFRQQOUFFUEJF3,GREEN CARDAMOM,7oz,561800,GTIN,,05618006,scanner sends the 8-digit code
POLXBZTWJAGAXLUS7RHNDRWN,GREEN CARDAMOM,50 GM,468900,GTIN,,04689005,scanner sends the 8-digit code
4IW5F3WCSEMZO376N2LKB6Y3,GREEN CARDAMOM,100g,200300,GTIN,,02003005,scanner sends the 8-digit code
35SQFL7C3JDDDB422NEKUGF3,GREEN CARDAMOM,800 GM,456345,GTIN,,04563457,scanner sends the 8-digit code
QIX2X5EZG523NKGFC3RCLBQX,GREEN CHANNA,2LB,311000,GTIN,,03110001,scanner sends the 8-digit code
G3222E4UVRSWE6EMWBRPPIVS,GREEN MUKHWAS,400GM,201460,GTIN,,02014603,scanner sends the 8-digit code
NYXQ2EANW36KZJIFKVD4JG7G,GREEN PISTA,14 oz,502300,GTIN,,05023006,scanner sends the 8-digit code
4G4C6RP6OAMHRXURSSZ3NTRM,GREEN PISTA,7oz,502200,GTIN,,05022007,scanner sends the 8-digit code
PW5TFDDZMEHS57E6I7Z5BLTP,GREEN PISTA,1/2 LB,200180,GTIN,,02001803,scanner sends the 8-digit code
X6GEMAB7KOOMEOIKETPRGUPS,GREEN PISTA,3.5oz,878787,GTIN,,08787873,scanner sends the 8-digit code
GICENE6EEFNUSTFOCPAE2LDW,GREEN PISTA,400 GM,200170,GTIN,,02001706,scanner sends the 8-digit code
PILPHONO3H422NX63FSUJZCS,GREEN PISTA,1/2 LBS,204600,GTIN,,02046000,scanner sends the 8-digit code
XYSVPKMWKZCBU7YETLY2SU3O,GREEN PISTA,7oz (2),208490,GTIN,,02084903,scanner sends the 8-digit code
3QDUQLQ2YEMFO7OSVKR2QKKS,GREEN RAISIN,2LB,302000,GTIN,,03020001,scanner sends the 8-digit code
PRZRUCAAFL2GXAXVHQNXH52J,GREEN RAISINS,1lb,300600,GTIN,,03006001,scanner sends the 8-digit code
MRSFTS4N4SFUZ6QQ2WA5FKPY,GREEN RAISINS,400 g,200880,GTIN,,02008806,scanner sends the 8-digit code
VCLAHSTXCPMEHB75HSZOK2GP,GUJRATI BATATA RINGER,Regular,402400,GTIN,,04024006,scanner sends the 8-digit code
XU7MT2KVIAXLS5DDA7D6VY74,GUJRATI CHANA,Regular,723300,GTIN,,07233005,scanner sends the 8-digit code
FSZCQWJNLCRCRRVUYQRSY3V3,GUJRATI DAL,Regular,315000,GTIN,,03150009,scanner sends the 8-digit code
VKS7I23YT57Y7DJGZ7RHDXHG,GUJRATI KADHI,Regular,502800,GTIN,,05028001,scanner sends the 8-digit code
V7FIFFQ6J6XCTI2RJ3HWZRXP,GUJRATI KHICHDI,Regular,562500,GTIN,,05625006,scanner sends the 8-digit code
NPX2M467QTR2ROK2F5HIGUX6,GULAB JAMUN,14 OZ,559300,GTIN,,05593000,scanner sends the 8-digit code
VO6FEQGDYAP4QOBJAZK7ZGM3,GULAB JAMUN,14 OZ (2),874090,GTIN,,08740902,scanner sends the 8-digit code
L3IOXXEXJ2HUQ4ANUN4K4XJX,GULAB JAMUN,5 pc,734200,GTIN,,07342000,scanner sends the 8-digit code
JIHHT75CLO7BWANFAOFUALOP,GULAB JAMUN,5 PC (2),604400,GTIN,,06044008,scanner sends the 8-digit code
ZF6TTZHTAOZQAMNFRZWJZGKT,GULAB JAMUN RASGULLA,14 OZ,873400,GTIN,,08734008,scanner sends the 8-digit code
NMQQZTWUFCZQGU6ZNDFSLN6B,GULABJAMUN,7OZ,604600,GTIN,,06046006,scanner sends the 8-digit code
HAB7LCVMZQZJKF7FLMNIOE4B,GULB JAMUN,Regular,317100,GTIN,,03171002,scanner sends the 8-digit code
IZFRRSS4AMCYYYTIERQKJGCV,GUR BATATA RINGE,Regular,756400,GTIN,,07564006,scanner sends the 8-digit code
OR7O3DBWIDNTNVMGILZB3ANX,GUR GAJAK,Regular,564100,GTIN,,05641004,scanner sends the 8-digit code
ESI6OWNFZMK32ZQK3JIK5ATK,GUR PARE,14 OZ,406300,GTIN,,04063005,scanner sends the 8-digit code
GF64HHOZBP4QVIF3QGY45XIW,GUR REWADI,7 OZ,126356,GTIN,,01263565,scanner sends the 8-digit code
DAK7ZBAFKS72OOEJPR2VEDYY,GUR REWARI,14OZ,601600,GTIN,,06016005,scanner sends the 8-digit code
3U3H33FWB4KTM2DCDJLPIZ4S,HAKKA NOODLES,Regular,312200,GTIN,,03122006,scanner sends the 8-digit code
5722TN7DPCQHPWJTSGF5FQPE,HAMDARD JOSHANDA,30 GM,558400,GTIN,,05584002,scanner sends the 8-digit code
A6GBFR4BZGQ3TEP74OSHHRIG,HARDE SMALL,3.5 OZ,045120,GTIN,,00451206,scanner sends the 8-digit code
BM2N32UHI6K3HWQU5LK74MVS,HEINZ TOMATO KETCHUP,44 OZ,137350,GTIN,,01373501,scanner sends the 8-digit code
SDB7YQC3SLHSIIHXY3OMUUTY,HIMALUAN SAL,14.1 OZ,600600,GTIN,,06006008,scanner sends the 8-digit code
RMAU5EKXW66PC7HJ47ONEVEV,HORSE GRAM,4 LB,202330,GTIN,,02023300,scanner sends the 8-digit code
22E5QREJHTMYEDXST4R3WCLF,HYDERABADI BAINGAN,Regular,213200,GTIN,,02132004,scanner sends the 8-digit code
HUXZTZR4EO5OECVJJUWL2H5K,IDLI,Regular,316400,GTIN,,03164002,scanner sends the 8-digit code
DLDHTUE7KHCGXP33JTYH5GUZ,IDLI RICE,4Lb,319700,GTIN,,03197000,scanner sends the 8-digit code
DPR2BN4YJNQ3PBIRRESDLWBX,IDLI RICE,8Lb,319800,GTIN,,03198009,scanner sends the 8-digit code
6M66WY2HRWL2IKHUWYW5AKDW,INDIAN RAISIN,1 LBS,566100,GTIN,,05661008,scanner sends the 8-digit code
EN6IOU4LUU3IASRKPT5BO4UV,IPHONE CHARGER,6 FEET,767880,GTIN,,07678802,scanner sends the 8-digit code
WWAHKTBFNYNFJ3SXHLRKDE5L,IPHONE CHARGER,3 FEET,992300,GTIN,,09923005,scanner sends the 8-digit code
HEQGAMJCT27ARQTKQYDMVA3Z,JAIN CASHEW,11 OZ,586910,GTIN,,05869101,scanner sends the 8-digit code
ZJXJHMJIP7LY5IAJKPY3QBSG,JAIN CASHEWS,7OZ,586920,GTIN,,05869208,scanner sends the 8-digit code
55XERJH4VH4FTITGTIKRB5LL,JAIN FOODS MOTICHUR LADOO,14 OZ,939330,GTIN,,09393303,scanner sends the 8-digit code
AGEXRS2BGFV2VM7F24NHLPGA,JALEBI TIT BITS,Regular,554565,GTIN,,05545650,scanner sends the 8-digit code
L2OAUAUYQJI5TGT2JQYT3VOH,JASMINE RICE,4 LBS,565300,GTIN,,05653009,scanner sends the 8-digit code
EC76ALF47VAHRBV3F3TF3BPW,JEERA RICE,Regular,555400,GTIN,,05554001,scanner sends the 8-digit code
V7AMFD2NVCMK4DA4RPI7PC7Q,JUMBO CASHEWS,2LB,317500,GTIN,,03175008,scanner sends the 8-digit code
BYEH76GCPUXBK27OT7ZXVPZF,JUMBO CASHEWS,Regular,317400,GTIN,,03174009,scanner sends the 8-digit code
RN4TPPDAQNVMRTEARGELKSLL,JUMBO CASHEWS,3LB,318500,GTIN,,03185005,scanner sends the 8-digit code
JU6364ZEJSCSNHUWPUCIOTQ6,JUMBO DATES,1.5LB,318200,GTIN,,03182008,scanner sends the 8-digit code
AAPUMXTD5NDVMTTF4PPE35O4,KABAB CHINI,100G,001122,GTIN,,00011228,scanner sends the 8-digit code
ZCF3EGSR3HL7WZLGTVLWT7S7,KABULI CHANA,Regular (2),666600,GTIN,,06666002,scanner sends the 8-digit code
XLZUUXIUFPAVMT2G2Y7VJ5BL,KABULI CHANNA,4 LB,560300,GTIN,,05603004,scanner sends the 8-digit code
CBR3QJSXBTJ2NPMY4AQLSWRZ,KABULI CHANNA,8 LB,560400,GTIN,,05604003,scanner sends the 8-digit code
VOSCM7LQC4TV4XX5WGGJEUTW,KADAHI MASHROOM,Regular,987560,GTIN,,09875603,scanner sends the 8-digit code
WM2OBSVQQW2KIMHSWFL3QVBF,KADAHI MUSHROO,Regular,604100,GTIN,,06041001,scanner sends the 8-digit code
R3PSDDGJ4L34UVBFGEYEUYPU,KADAHI MUSHROOM,Regular,317222,GTIN,,03172223,scanner sends the 8-digit code
4M5LG3NISWJR6NFEN4SEDDGC,KADAHI PANEER,Regular,317200,GTIN,,03172001,scanner sends the 8-digit code
24NAETMJROHIKT2IAALLOZFQ,KADHI PAKORA,Regular,316000,GTIN,,03160006,scanner sends the 8-digit code
TI7NMRKI752IPQOD6UQNINH7,KAJU BADAM BURFI,7 oz,563100,GTIN,,05631007,scanner sends the 8-digit code
AY2KRIWGD5CWQ2LB7FA2PI2B,KAJU KATLI,7 OZ,503500,GTIN,,05035001,scanner sends the 8-digit code
Q3UFZH7V46GSLO56GY577HD4,KAJU PISTA BURFI,7 oz,501100,GTIN,,05011001,scanner sends the 8-digit code
AY3HO7JLI23TLFUH63C4GMZ4,KAJU PISTA PEDA,Regular,852000,GTIN,,08520001,scanner sends the 8-digit code
BGUE7H3YIHQXFHGSCCDJEVB7,KAJU PISTA PEDA,7 oz,843600,GTIN,,08436005,scanner sends the 8-digit code
6K6XIOSWBYAZIGLJWB4OCC62,KAJU PISTA ROLL,.50LB,872000,GTIN,,08720005,scanner sends the 8-digit code
CCSYGLNQXHUX5O2GPRQR4L34,KALA CHANA,4LB (2),308600,GTIN,,03086007,scanner sends the 8-digit code
HANB7FZPVWGAE37ZLWITVYQ6,KALA CHANA,2LB,308500,GTIN,,03085008,scanner sends the 8-digit code
DHC47ZVCQFJQAVEILKLNQMTL,KALA CHANNA,8LB,308700,GTIN,,03087006,scanner sends the 8-digit code
LNXSQUGWPOBE3OUYM2UW35WJ,KALA CHANNA COOKED,Regular,312000,GTIN,,03120008,scanner sends the 8-digit code
G3RVUAVAHLJ7WA7BFFTWB2IB,KALA JAMUN,14 OZ,304000,GTIN,,03040005,scanner sends the 8-digit code
6FBGPMYZZ2I3UVVHQYHX5YEX,KALA KUND,1LB,563000,GTIN,,05630008,scanner sends the 8-digit code
MGFFGZWN3FAXZ3PCG53AFPII,KALA KUND,9 oz,458900,GTIN,,04589008,scanner sends the 8-digit code
O2CIATWSXHDASTKBD5S5ZB23,KALI JEERA RICE,2 LB,600100,GTIN,,06001003,scanner sends the 8-digit code
W5NXND4FCQPCYFCST4AVWASB,KALONJI,7 OZ (200 GM),562800,GTIN,,05628003,scanner sends the 8-digit code
VVRZTVTKPI3RSWRYVAHJ4UY5,KALONJI,14 OZ (400 GM) (2),562900,GTIN,,05629002,scanner sends the 8-digit code
DAX3W73W3GTGGAMPQCLCXKZM,KALONJI,3.5 OZ,868767,GTIN,,08687678,scanner sends the 8-digit code
PHNX6VJNDVBHX36YIB7ZPMZU,KARELA ALOO,Regular,311400,GTIN,,03114007,scanner sends the 8-digit code
MFZ4AQK42VILAPNNM4KX67IR,KASHMIRI PILAF,Regular,557800,GTIN,,05578001,scanner sends the 8-digit code
SSLN5LSARKGFZGOEF6YDCLUD,KASHMIRI RAJMA,8LB,307600,GTIN,,03076000,scanner sends the 8-digit code
EATVWWSTBIWQJVZZ4BOA4PO2,KASHMIRI RAJMA,2LB,307400,GTIN,,03074002,scanner sends the 8-digit code
IWG74KGINVKLUP5JRTQ73SSW,KASHMRI RAJMA,4LB,307500,GTIN,,03075001,scanner sends the 8-digit code
ARG6CSU5WTXRPMET3OUMBBX4,KERALA KUTTARI RICE,4LB,356700,GTIN,,03567007,scanner sends the 8-digit code
RQLDTHBRN5S2SNC47AC5QD56,KERALA KUTTARI RICE,1LB,452300,GTIN,,04523002,scanner sends the 8-digit code
M33WU4XQY6TZTBR5LWC73ADP,KESAR PISTA BURFI,Regular,604300,GTIN,,06043009,scanner sends the 8-digit code
2W62C5V2CAUTJNZ3EX2B7QKU,KESAR PISTA LADOO,8 OZ,222300,GTIN,,02223003,scanner sends the 8-digit code
CTFDSOQLQXKXZ2LLHLCI7RNO,KESAR PISTA MOUSSE,Regular,459123,GTIN,,04591235,scanner sends the 8-digit code
BN7FUFZV5CHJW5HKG2I5O6XP,KESAR PISTA MOUSSE,Regular (2),456920,GTIN,,04569208,scanner sends the 8-digit code
EOGYK7RU6O52MD5J7G2JYWAB,KHAJOOR BURFI,.50lb,007400,GTIN,,00074005,scanner sends the 8-digit code
C7MI5CLUSS6YA66VSYZSHF5J,KHARI SING,500g,110258,GTIN,,01102581,scanner sends the 8-digit code
YTWN7Z6YSMTVJY7RXZTNXWZD,KHEER,Regular,319200,GTIN,,03192005,scanner sends the 8-digit code
U7HQVJGW34HJNFE6KSJX5LW5,KHEER MOHAN,7OZ,563200,GTIN,,05632006,scanner sends the 8-digit code
Y6LEAQYT7PBXKQ4HXKDXGBNW,KHOYA BURFI,7 OZ,345600,GTIN,,03456004,scanner sends the 8-digit code
YZMCLYSOWW2O5EQCE72QOQSG,KHOYA BURFI,7 oz (2),604900,GTIN,,06049003,scanner sends the 8-digit code
NSHSVSE3UYB2NQG5PROIJCO2,KHOYA COCONUT BURFI,12 OZ,979700,GTIN,,09797006,scanner sends the 8-digit code
POPJZN5RW4CE6ELAOT55YB6R,KIKKOMAN SOY SAUCE,10 OZ,413924,GTIN,,04139247,scanner sends the 8-digit code
TDAS7O5XBWTB6PVRKPBDVXW5,KIKKOMAN SOY SAUCE,5 FL OZ,413914,GTIN,,04139140,scanner sends the 8-digit code
2X6IQTSXVWR7T5TAXYWA3BHU,KJAU KESAR PEDA,12OZ,503600,GTIN,,05036000,scanner sends the 8-digit code
TQPO2QLC4MAQ3CTQPXY7TTXZ,KOFTA CURRY,Regular,082904,GTIN,,00829047,scanner sends the 8-digit code
ZCQACMCBJAFTXEJMKMD5Y4ML,KTC ALMOND OIL,300ML,466770,GTIN,,04667702,scanner sends the 8-digit code
B55TPHXYO7SHCK7R3IHKVS3T,KTC MUSTARD OIL,750 ML,558500,GTIN,,05585001,scanner sends the 8-digit code
47EI533XPIEAG63I3UZNQFBM,LADOO,Regular,561500,GTIN,,05615009,scanner sends the 8-digit code
GZ6672HVLVICUI6E357GHGFR,LAUKI KI SABJI,Regular,609300,GTIN,,06093004,scanner sends the 8-digit code
YRW6JOR6BWC3XAM2OGNDQUJS,LAUKI SABJI,Regular,784530,GTIN,,07845303,scanner sends the 8-digit code
2MKEQBUKSHQOWIFAMWB3USD5,LAXMI IDLI RICE 20 LB,20 LB,600004,GTIN,,06000044,scanner sends the 8-digit code
LQSVOVFMFHQUZ6JXVP3HB54U,LAXMI JASMINE RICE,10 LB,600005,GTIN,,06000059,scanner sends the 8-digit code
WAJ2RZHIDFPI4GQW3KWSUR6H,LAXMI KERALA PAPPADA,Regular,500000,GTIN,,05000005,scanner sends the 8-digit code
UQAGSV4AA3R3QRZ33ENZVM7D,LAZIZA FIRNI KHAS,150GMS (2),400500,GTIN,,04005001,scanner sends the 8-digit code
ASUVFEESJMBDCABNBK4MABWX,LAZIZA JELLY FALOODA MIX,235GMS,400700,GTIN,,04007009,scanner sends the 8-digit code
5X6PNDDHFECCV54PWTFNABTC,LAZIZA KULFI MALAI MIX: ALMOND,152GMS,400800,GTIN,,04008008,scanner sends the 8-digit code
PSJ7NRRI6JHL3O45X2SSHC5Y,LAZIZA RABRI FALOODA MIX,235GMS,400600,GTIN,,04006000,scanner sends the 8-digit code
M4PMRMDXNKUJ4RTLSSMXYMVA,LEMON GRASS RICE,Regular,566800,GTIN,,05668001,scanner sends the 8-digit code
KUGRETCBNPMBQLJER7Z4EWQE,LEMON RICE,Regular,316600,GTIN,,03166000,scanner sends the 8-digit code
ZS3PYXR2FLMOHQ3EDP2JKKFK,LG HING,1.75,600700,GTIN,,06007007,scanner sends the 8-digit code
76KZLFR7QF6KKA4ZF35ELAH6,LIGHT KIDNEY BEANS,8LB,307100,GTIN,,03071005,scanner sends the 8-digit code
6OOEUCJAMEPJATUDMLFMK66W,LIGHT KIDNEY BEANS,2LB,307300,GTIN,,03073003,scanner sends the 8-digit code
UG544YOCUNDKXDVJYDNYCHB7,LIGHT KIDNEY BEANS,4LB,307200,GTIN,,03072004,scanner sends the 8-digit code
KHOI6G5GDCEB5MHOU5Y76MHW,LIGHT KINDNEY BEANS,Regular,200750,GTIN,,02007506,scanner sends the 8-digit code
6B6ONWFKGIIVD4MYUTOD5CIV,LIPTON NATURAL TEA,226G,412870,GTIN,,04128708,scanner sends the 8-digit code
OJPVXMXEW3M5H6FCEOHMGPYD,LIPTON PURELEAF GREEN TEA,16 FL OZ,411470,GTIN,,04114705,scanner sends the 8-digit code
RE37G6XKHF7D6UYO2SAPJFK3,LIPTON PURELEAF ICED TEA: RASBERRY,16 FL OZ,419950,GTIN,,04199502,scanner sends the 8-digit code
OT3R67NGX5Z6FIDKE6XQDRH7,LIPTON TEA,100 TEA BAGS,412910,GTIN,,04129105,scanner sends the 8-digit code
WGBF3DRVXTGWEEH4KGRU2PFX,LOOSE TEA,1lb,781200,GTIN,,07812004,scanner sends the 8-digit code
M5Y2ZXXTJS74XK4HCDBA2RJY,LUCKNOW FENNEL SEED,7 OZ,098660,GTIN,,00986605,scanner sends the 8-digit code
LU3NJVGSRPQENYEQFFR5VAPG,M M,1.69 OZ,400310,GTIN,,04003100,scanner sends the 8-digit code
UP7WERXBIYG77AWMZSYNKXQ2,MAA CHOLEY DAL,Regular,313400,GTIN,,03134001,scanner sends the 8-digit code
MTCTKPG56JLPIRMRM6Q4A3MG,MAKHANI DAAL,Regular,606200,GTIN,,06062004,scanner sends the 8-digit code
FREGVVYNOQOKOQCQQ766KOKH,MAKHANI DAL,Regular,301400,GTIN,,03014000,scanner sends the 8-digit code
J6V3LIRR25DQNQ2CWTH655WE,MAKHANI PANEER,Regular,310600,GTIN,,03106008,scanner sends the 8-digit code
FIOPIMFEU76ZJTFLRTHRU5WW,MAKHANI PANIR,Regular,987700,GTIN,,09877009,scanner sends the 8-digit code
FAMFPMLWCVGTNP5ZIVC7LR3M,MAKHANI SAUCE,Regular,502900,GTIN,,05029000,scanner sends the 8-digit code
RJC5U3ZZ3YP7WGUWJIAFWWJ5,MALAI KOFTA,Regular,301200,GTIN,,03012002,scanner sends the 8-digit code
N3CA7NB4JZN7NYWFZN4GIDEG,MANGO BITES,Regular,651651,GTIN,,06516514,scanner sends the 8-digit code
6SNPH2QNVRWPWU5GPDFQ6HVI,MANGO CANDY,Regular,565000,GTIN,,05650002,scanner sends the 8-digit code
NJNIF5C55XNATSUXSJT5Q56S,MANGO CANDY,Regular (2),565500,GTIN,,05655007,scanner sends the 8-digit code
FV3MASE4IHS2D76K2QSNYAKO,MANGO CHUTNEY SMALL,Regular,568500,GTIN,,05685008,scanner sends the 8-digit code
P3MYIAKKCEW4W3NYAMSO2EHG,MANGO LASSI,Regular (2),989900,GTIN,,09899001,scanner sends the 8-digit code
6YQDNQFPF4FFOT3BU2E4C7XW,MANGO LASSI,Regular (3),123400,GTIN,,01234000,scanner sends the 8-digit code
D23L3E4S4KFTDN4VJEPELGRF,MANGO LASSI LARGE,Regular,387650,GTIN,,03876501,scanner sends the 8-digit code
4MHCWRR4BTKOKWNLDE3Z7KS6,MANGO LASSI MEDIUM,Regular,337850,GTIN,,03378504,scanner sends the 8-digit code
